Player,School,Year,Pick,Pos,G,MP,FG%,2P%,College 3P%,FT%,PTS,SOS,TS%,eFG%,3PAr,FTr,OWS,3PTM,3P%
Devin Harris,Wisconsin,2004,3,PG,96,35.0,0.447,0.522,0.375,0.778,14.8,7.74,0.593,0.542,0.509,0.474,9.8,0.58,0.336
Josh Childress,Stanford,2004,4,SG,86,28.6,0.438,0.494,0.335,0.755,12.3,7.25,0.532,0.497,0.352,0.278,3.9,0.16,0.232
Luol Deng,Duke,2004,5,SF,37,31.1,0.476,0.515,0.36,0.71,15.1,10.86,0.551,0.522,0.252,0.313,2.4,0.51,0.265
Rafael Araujo,BYU,2004,6,C,62,27.4,0.567,0.587,0.268,0.691,15.1,5.79,0.601,0.575,0.063,0.43,6.1,0.02,0.333
Andre Iguodala,Arizona,2004,7,SG,62,25.4,0.424,0.473,0.274,0.738,9.6,7.79,0.511,0.458,0.242,0.427,1.4,0.57,0.331
Luke Jackson,Oregon,2004,8,SF,126,29.1,0.461,0.488,0.402,0.849,15.6,6.96,0.586,0.524,0.31,0.426,10.8,0.4,0.667
Kris Humphries,Minnesota,2004,9,PF,29,34.1,0.444,0.455,0.34,0.742,21.7,5.36,0.518,0.461,0.1,0.46,1.8,0.03,0.333
Kirk Snyder,Nevada,2004,10,SG,84,30.8,0.426,0.477,0.31,0.677,16.7,3.25,0.516,0.473,0.305,0.454,3.9,0.44,0.353
Jameer Nelson,St. Joseph's,2004,11,PG,125,34.5,0.454,0.514,0.365,0.786,16.8,4.12,0.573,0.527,0.405,0.377,11.7,0.56,0.312
Delonte West,St. Joseph's,2004,12,SG,89,26.8,0.489,0.544,0.377,0.831,13.9,4.0,0.59,0.551,0.326,0.29,7.8,0.62,0.358
Tony Allen,Oklahoma State,2004,13,SG,67,31.4,0.477,0.508,0.347,0.682,15.3,7.84,0.547,0.51,0.195,0.449,4.6,0.16,0.387
Kevin Martin,Western Carolina,2004,14,PG,79,31.8,0.462,0.542,0.346,0.841,23.3,-3.74,0.602,0.533,0.411,0.519,11.2,0.11,0.2
